,name
Охранник в г. Краснодар,6
Сторож-контролер,6
"Инженер по охране труда, промышленной безопасности и безопасности дорожного движения",6
Сторож-вахтер,5
Специалист по выездному взысканию,5
Охранник в г. Ставрополь,5
Электромонтер охранно-пожарной сигнализации,5
Дежурный пульта управления (Одинцово),5
Охранник (г. Воронеж),5
Ведущий специалист отдела досудебного взыскания,5
Командир отделения пожарной части,5
Аналитик по безопасности,5
Ведущий инженер по пожарной безопасности,5
Специалист по розыску транспортных средств (удаленно),5
Главный специалист по охране окружающей среды,5
Специалист отдела охраны труда,5
Менеджер по экономической безопасности,5
Инспектор ДПС ГИБДД,5
"Специалист по взысканию задолженности (досудебная просрочка, банк)",5
Главный специалист Отдел охраны окружающей среды,5
"Главный специалист по пожарной безопасности, ГО и ЧС",5
Охранник (Фейс-контроль),5
Охранник без лицензии,5
Заместитель директора по безопасности,5
Охранник 1 категории,5
Охранник частного объекта (Солнечногорск Московской области),5
Контролер КПП / Охранник,5
Инспектор ГБР,5
Инспектор-контролер (оператор видеонаблюдения),5
Специалист отдела внутреннего контроля,5
Заместитель главного инженера по охране труда и промышленной безопасности,5
Младший инспектор отдела режима и надзора,5
Контролер военизированной охраны,5
Специалист по транспортной безопасности группы наблюдения и собеседования,5
Охранник на стройку в г. Ялта,5
Специалист по транспортной безопасности группы досмотра,5
Заместитель генерального директора по безопасности,5
Администратор в службу безопасности,5
Начальник караула,5
Начальник отряда ГДИС,5
Инженер по безопасности дорожного движения,5
Полицейский (водитель) дежурной части,5
Старший полицейский (группы задержания) роты полиции,5
Старший контролер отгрузки службы безопасности,5
"Специалист по охране труда (Усть-Луга, Ленинградская область)",5
Водитель,5
Специалист по транспортной безопасности группы быстрого реагирования,5
"Младший инспектор, ФКУ СИЗО-2",5
Стрелок (охранник),5
Специалист по охране труда (Магадан),5
Техник пожарных систем (АПТ и ВПВ),5
Инспектор дорожно-патрульной службы УМВД России по г. Нижнему Новгороду,5
"Специалист по охране труда, промышленной и экологической безопасности (Красноярский край)",5
Главный специалист по работе с проблемными активами,5
Заместитель руководителя службы охраны труда,5
Специалист по охране труда и промышленной безопасности (вахта),4
Охранник (4-6 разряд)/Сотрудник ГБР,4
Работник ведомственной охраны,4
Ведущий специалист регионального судебного взыскания,4
Детейлер,4
Охранник 6-го разряда,4
"Инженер ПБ, ОТ и ООС",4
Полицейский (вневедомственная охрана),4
Старший охранник,4
"Полицейский ОППСП МО МВД России ""Удомельский""",4
Инженер-конструктор (служба главного механика),4
Старший инспектор,4
Техник систем пожаротушения,4
"Заместитель начальника (по безопасности) детского лагеря ""Республика Солнечная"", п. Ермолаево",4
Фельдъегерь,4
Ведущий специалист по промышленной безопасности и охране труда,4
Техник систем пожарной сигнализации,4
Контролер на склад,4
Охранник (Тюмень),4
Инспектор по борьбе с хищениями,4
Специалист по охране труда и окружающей среды,4
Судебный пристав по ОУПДС (обеспечению установленного порядка деятельности судов),4
Контролер СБ,4
Техник пожарных систем (дымоудаление),4
Специалист по охране труда (г. Кронштадт),4
"Специалист по охране труда, пожарной безопасности, гражданской обороне и чрезвычайной ситуации",4
Инженер пожарной охраны (г. Майкоп),4
Охранник в отель,4
